orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
1,2024-05-02,2024-05-02,Cancelled,777,7433.89,Bank Transfer
2,2024-09-05,2024-09-05,Processing,763,6319.01,PayPal
3,2024-10-18,2024-10-18,Processing,674,1374.97,Cash
4,2024-06-15,2024-06-15,Processing,58,4369.29,PayPal
5,2024-10-15,2024-10-15,Cancelled,895,6440.17,Cash
6,2024-08-15,2024-08-15,Cancelled,391,8516.34,Cash
7,2024-10-27,2024-10-27,Shipped,13,7620.88,PayPal
8,2024-01-22,2024-01-22,On Hold,127,3333.66,Credit Card
9,2024-11-18,2024-11-18,Shipped,914,7010.02,Bank Transfer
10,2024-08-15,2024-08-15,On Hold,313,3861.33,Credit Card
11,2024-05-08,2024-05-08,Cancelled,774,354.66,Cash
12,2024-03-27,2024-03-27,Shipped,811,8261.53,Credit Card
13,2024-11-10,2024-11-10,Processing,644,261.31,Bank Transfer
14,2024-04-20,2024-04-20,On Hold,874,2682.71,Cash
15,2024-03-16,2024-03-16,On Hold,242,9058.9,PayPal
16,2024-11-07,2024-11-07,Shipped,301,5721.82,Cash
17,2024-08-17,2024-08-17,On Hold,160,111.54,Bank Transfer
18,2024-11-15,2024-11-15,On Hold,735,6279.21,Credit Card
19,2024-11-22,2024-11-22,Processing,767,9460.1,Credit Card
20,2024-08-03,2024-08-03,Shipped,704,9429.13,PayPal
21,2024-07-21,2024-07-21,Cancelled,50,5327.6,Cash
22,2024-09-20,2024-09-20,On Hold,856,4812.92,Cash
23,2024-11-22,2024-11-22,Cancelled,248,9803.31,Cash
24,2024-02-22,2024-02-22,Shipped,959,7236.0,Bank Transfer
25,2024-04-27,2024-04-27,Shipped,115,9909.55,Cash
26,2024-08-31,2024-08-31,On Hold,387,2730.12,Cash
27,2024-07-14,2024-07-14,On Hold,310,322.71,Credit Card
28,2024-11-02,2024-11-02,Shipped,946,1141.97,Bank Transfer
29,2024-03-28,2024-03-28,On Hold,117,4220.0,Cash
30,2024-07-03,2024-07-03,Shipped,535,2698.27,Bank Transfer
31,2024-07-17,2024-07-17,On Hold,893,2619.65,Credit Card
32,2024-02-03,2024-02-03,Cancelled,81,5082.06,Cash
33,2024-02-01,2024-02-01,On Hold,577,617.35,Cash
34,2024-08-19,2024-08-19,Cancelled,387,9549.85,PayPal
35,2024-02-01,2024-02-01,On Hold,903,5215.83,Credit Card
36,2024-09-05,2024-09-05,On Hold,50,4795.37,Bank Transfer
